# == pyFAI calibration ==
# Distance Sample to Detector: 0.7940650855747703 m
# PONI: 2.315e+00, -4.375e-01 m
# Rotations: -0.203527 -0.493645 0.000022 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 920.724 mm
# Center: x=-1590.751, y=10923.912 pix
# Tilt: 30.409 deg  TiltPlanRot: -69.412 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0048.xy
#       2th_deg             I 
  4.126800e+01    1.371560e+02
  4.126837e+01    1.374670e+02
  4.126874e+01    1.380872e+02
  4.126911e+01    1.387252e+02
  4.126948e+01    1.379927e+02
  4.126985e+01    1.369973e+02
  4.127022e+01    1.366157e+02
  4.127059e+01    1.355924e+02
  4.127096e+01    1.345905e+02
  4.127133e+01    1.362302e+02
  4.127170e+01    1.369623e+02
  4.127207e+01    1.369715e+02
  4.127244e+01    1.384543e+02
  4.127281e+01    1.387429e+02
  4.127318e+01    1.388926e+02
  4.127355e+01    1.393010e+02
  4.127392e+01    1.383858e+02
  4.127429e+01    1.367890e+02
  4.127466e+01    1.367788e+02
  4.127503e+01    1.369681e+02
  4.127540e+01    1.379676e+02
  4.127577e+01    1.376552e+02
  4.127614e+01    1.372575e+02
  4.127651e+01    1.352520e+02
  4.127688e+01    1.352495e+02
  4.127725e+01    1.354989e+02
  4.127762e+01    1.345077e+02
  4.127799e+01    1.354476e+02
  4.127836e+01    1.348814e+02
  4.127873e+01    1.339356e+02
  4.127910e+01    1.336716e+02
  4.127947e+01    1.354469e+02
  4.127984e+01    1.362620e+02
  4.128021e+01    1.376441e+02
  4.128058e+01    1.372356e+02
  4.128095e+01    1.372310e+02
  4.128132e+01    1.378295e+02
  4.128169e+01    1.376366e+02
  4.128206e+01    1.376169e+02
  4.128243e+01    1.370438e+02
  4.128280e+01    1.354366e+02
  4.128317e+01    1.352288e+02
  4.128354e+01    1.348765e+02
  4.128391e+01    1.342753e+02
  4.128428e+01    1.328777e+02
  4.128465e+01    1.316824e+02
  4.128502e+01    1.322185e+02
  4.128539e+01    1.349926e+02
  4.128576e+01    1.381458e+02
  4.128613e+01    1.386951e+02
  4.128650e+01    1.373334e+02
