# == pyFAI calibration ==
# Distance Sample to Detector: 0.89794922811261 m
# PONI: -1.720e+00, 1.057e-01 m
# Rotations: -0.449497 1.514190 -0.000006 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 17622.025 mm
# Center: x=3132.929, y=92289.532 pix
# Tilt: 87.079 deg  TiltPlanRot: 88.590 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0025.xy
#       2th_deg             I 
  2.432669e+01    6.079252e+01
  2.432753e+01    6.092530e+01
  2.432837e+01    6.096942e+01
  2.432921e+01    6.098908e+01
  2.433006e+01    6.111867e+01
  2.433090e+01    6.135026e+01
  2.433174e+01    6.146000e+01
  2.433258e+01    6.126708e+01
  2.433342e+01    6.166128e+01
  2.433427e+01    6.137250e+01
  2.433511e+01    6.113241e+01
  2.433595e+01    6.090449e+01
  2.433679e+01    6.087994e+01
  2.433763e+01    6.072774e+01
  2.433848e+01    6.086098e+01
  2.433932e+01    6.108481e+01
  2.434016e+01    6.146924e+01
  2.434100e+01    6.106641e+01
  2.434184e+01    6.123930e+01
  2.434269e+01    6.184419e+01
  2.434353e+01    6.252874e+01
  2.434437e+01    6.243956e+01
  2.434521e+01    6.246743e+01
  2.434605e+01    6.201917e+01
  2.434690e+01    6.224816e+01
  2.434774e+01    6.206139e+01
  2.434858e+01    6.163741e+01
  2.434942e+01    6.194010e+01
  2.435026e+01    6.158209e+01
  2.435111e+01    6.126371e+01
  2.435195e+01    6.085049e+01
  2.435279e+01    6.082121e+01
  2.435363e+01    6.102140e+01
  2.435447e+01    6.119382e+01
  2.435532e+01    6.147342e+01
  2.435616e+01    6.128042e+01
  2.435700e+01    6.136671e+01
  2.435784e+01    6.134115e+01
  2.435868e+01    6.132604e+01
  2.435953e+01    6.122708e+01
  2.436037e+01    6.107563e+01
  2.436121e+01    6.113758e+01
  2.436205e+01    6.112519e+01
  2.436289e+01    6.214463e+01
  2.436374e+01    6.399880e+01
  2.436458e+01    6.528639e+01
  2.436542e+01    6.461308e+01
  2.436626e+01    6.230542e+01
  2.436710e+01    6.103203e+01
  2.436795e+01    6.011583e+01
  2.436879e+01    5.956625e+01
  2.436963e+01    5.969905e+01
  2.437047e+01    6.042424e+01
  2.437131e+01    6.057951e+01
  2.437216e+01    6.037603e+01
  2.437300e+01    6.003430e+01
  2.437384e+01    5.995558e+01
  2.437468e+01    5.992916e+01
  2.437552e+01    5.973606e+01
  2.437637e+01    5.927906e+01
  2.437721e+01    5.926638e+01
  2.437805e+01    5.956271e+01
  2.437889e+01    5.993805e+01
  2.437974e+01    5.959624e+01
  2.438058e+01    5.966750e+01
  2.438142e+01    5.984641e+01
  2.438226e+01    5.988131e+01
  2.438310e+01    6.033483e+01
  2.438395e+01    6.054096e+01
  2.438479e+01    6.065007e+01
  2.438563e+01    6.043442e+01
  2.438647e+01    6.035091e+01
  2.438731e+01    6.029893e+01
  2.438816e+01    5.970811e+01
  2.438900e+01    5.989249e+01
  2.438984e+01    6.055421e+01
  2.439068e+01    6.042244e+01
  2.439152e+01    6.030203e+01
  2.439237e+01    6.007869e+01
  2.439321e+01    6.028327e+01
  2.439405e+01    6.038698e+01
  2.439489e+01    6.001073e+01
  2.439573e+01    5.996100e+01
  2.439658e+01    5.969701e+01
  2.439742e+01    5.974675e+01
  2.439826e+01    5.950999e+01
  2.439910e+01    5.947092e+01
  2.439994e+01    5.922596e+01
  2.440079e+01    6.009433e+01
  2.440163e+01    6.036678e+01
  2.440247e+01    6.088066e+01
  2.440331e+01    6.101262e+01
  2.440415e+01    6.124734e+01
  2.440500e+01    6.085572e+01
  2.440584e+01    6.084698e+01
  2.440668e+01    6.021803e+01
  2.440752e+01    5.949126e+01
  2.440836e+01    5.882745e+01
  2.440921e+01    5.866248e+01
  2.441005e+01    5.839229e+01
  2.441089e+01    5.816994e+01
  2.441173e+01    5.817597e+01
  2.441257e+01    5.827022e+01
  2.441342e+01    5.842472e+01
  2.441426e+01    5.903023e+01
  2.441510e+01    5.871311e+01
  2.441594e+01    5.871372e+01
  2.441678e+01    5.884341e+01
  2.441763e+01    5.907924e+01
  2.441847e+01    5.939492e+01
  2.441931e+01    5.989531e+01
  2.442015e+01    6.010868e+01
  2.442099e+01    6.030582e+01
  2.442184e+01    6.012082e+01
  2.442268e+01    6.015423e+01
  2.442352e+01    5.985292e+01
  2.442436e+01    6.004877e+01
  2.442520e+01    5.930804e+01
  2.442605e+01    5.888676e+01
  2.442689e+01    5.883227e+01
  2.442773e+01    5.955279e+01
  2.442857e+01    6.052136e+01
  2.442941e+01    6.053504e+01
  2.443026e+01    6.000272e+01
  2.443110e+01    5.946420e+01
  2.443194e+01    5.949586e+01
  2.443278e+01    5.920880e+01
  2.443362e+01    5.914017e+01
  2.443447e+01    5.955537e+01
  2.443531e+01    5.970826e+01
  2.443615e+01    5.996540e+01
  2.443699e+01    5.946658e+01
  2.443783e+01    5.947937e+01
  2.443868e+01    5.948375e+01
  2.443952e+01    5.961522e+01
  2.444036e+01    5.978043e+01
  2.444120e+01    5.883602e+01
  2.444204e+01    5.812878e+01
  2.444289e+01    5.819623e+01
  2.444373e+01    5.886074e+01
  2.444457e+01    5.990047e+01
  2.444541e+01    6.022329e+01
  2.444625e+01    5.996929e+01
  2.444710e+01    5.961411e+01
  2.444794e+01    5.928896e+01
  2.444878e+01    5.953381e+01
  2.444962e+01    5.996236e+01
  2.445047e+01    6.016621e+01
  2.445131e+01    6.055081e+01
  2.445215e+01    6.087975e+01
  2.445299e+01    6.062600e+01
  2.445383e+01    6.000560e+01
  2.445468e+01    5.944852e+01
  2.445552e+01    5.937247e+01
  2.445636e+01    6.009527e+01
  2.445720e+01    5.939235e+01
  2.445804e+01    5.945520e+01
  2.445889e+01    5.935627e+01
  2.445973e+01    5.941371e+01
  2.446057e+01    5.924874e+01
  2.446141e+01    5.857602e+01
  2.446225e+01    5.868818e+01
  2.446310e+01    5.880308e+01
  2.446394e+01    5.912518e+01
  2.446478e+01    5.964319e+01
  2.446562e+01    5.976710e+01
  2.446646e+01    5.975020e+01
  2.446731e+01    6.026416e+01
  2.446815e+01    5.973154e+01
  2.446899e+01    5.976316e+01
  2.446983e+01    5.970384e+01
  2.447067e+01    6.056509e+01
  2.447152e+01    6.117025e+01
  2.447236e+01    6.042337e+01
  2.447320e+01    5.968971e+01
  2.447404e+01    5.951799e+01
  2.447488e+01    5.989619e+01
  2.447573e+01    6.059172e+01
  2.447657e+01    6.076275e+01
  2.447741e+01    6.065166e+01
  2.447825e+01    6.034410e+01
  2.447909e+01    5.977915e+01
  2.447994e+01    5.937774e+01
  2.448078e+01    5.908841e+01
  2.448162e+01    5.974594e+01
  2.448246e+01    5.994183e+01
  2.448330e+01    6.022929e+01
  2.448415e+01    6.061586e+01
  2.448499e+01    6.083311e+01
  2.448583e+01    6.060347e+01
  2.448667e+01    5.981784e+01
