# == pyFAI calibration ==
# Distance Sample to Detector: 0.9185303427416458 m
# PONI: 1.916e+00, 3.346e-01 m
# Rotations: 0.091722 -0.638530 -0.000021 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 1148.741 mm
# Center: x=1453.987, y=7156.945 pix
# Tilt: 36.908 deg  TiltPlanRot: -97.035 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0029.xy
#       2th_deg             I 
  2.731729e+01    6.357316e+01
  2.731796e+01    6.427694e+01
  2.731863e+01    6.436360e+01
  2.731930e+01    6.453866e+01
  2.731997e+01    6.457011e+01
  2.732065e+01    6.494633e+01
  2.732132e+01    6.513639e+01
  2.732199e+01    6.486483e+01
  2.732266e+01    6.443781e+01
  2.732333e+01    6.424937e+01
  2.732400e+01    6.383990e+01
  2.732467e+01    6.352625e+01
  2.732534e+01    6.374759e+01
  2.732601e+01    6.357762e+01
  2.732668e+01    6.351301e+01
  2.732735e+01    6.324195e+01
  2.732802e+01    6.415386e+01
  2.732869e+01    6.519098e+01
  2.732936e+01    6.550600e+01
  2.733003e+01    6.503516e+01
  2.733070e+01    6.455160e+01
  2.733138e+01    6.429807e+01
  2.733205e+01    6.419862e+01
  2.733272e+01    6.387117e+01
  2.733339e+01    6.360783e+01
  2.733406e+01    6.339297e+01
  2.733473e+01    6.249569e+01
  2.733540e+01    6.231108e+01
  2.733607e+01    6.180055e+01
  2.733674e+01    6.294140e+01
  2.733741e+01    6.387492e+01
  2.733808e+01    6.415079e+01
  2.733875e+01    6.427536e+01
  2.733942e+01    6.497944e+01
  2.734009e+01    6.546194e+01
  2.734076e+01    6.573565e+01
  2.734143e+01    6.538220e+01
  2.734211e+01    6.483630e+01
  2.734278e+01    6.374014e+01
  2.734345e+01    6.348193e+01
  2.734412e+01    6.374559e+01
  2.734479e+01    6.459589e+01
  2.734546e+01    6.515205e+01
  2.734613e+01    6.456928e+01
  2.734680e+01    6.408347e+01
  2.734747e+01    6.393805e+01
  2.734814e+01    6.425278e+01
  2.734881e+01    6.471628e+01
  2.734948e+01    6.537346e+01
  2.735015e+01    6.472465e+01
  2.735082e+01    6.486896e+01
  2.735149e+01    6.472734e+01
  2.735217e+01    6.449230e+01
  2.735284e+01    6.423331e+01
  2.735351e+01    6.424625e+01
  2.735418e+01    6.367290e+01
  2.735485e+01    6.384668e+01
  2.735552e+01    6.410425e+01
  2.735619e+01    6.485145e+01
  2.735686e+01    6.541244e+01
  2.735753e+01    6.544635e+01
  2.735820e+01    6.477706e+01
  2.735887e+01    6.509703e+01
  2.735954e+01    6.527866e+01
  2.736021e+01    6.514088e+01
  2.736088e+01    6.457047e+01
  2.736155e+01    6.463424e+01
  2.736222e+01    6.528538e+01
  2.736290e+01    6.577859e+01
  2.736357e+01    6.539236e+01
  2.736424e+01    6.529330e+01
  2.736491e+01    6.557469e+01
  2.736558e+01    6.594238e+01
  2.736625e+01    6.545085e+01
  2.736692e+01    6.556879e+01
  2.736759e+01    6.571104e+01
  2.736826e+01    6.627729e+01
  2.736893e+01    6.595098e+01
  2.736960e+01    6.552067e+01
  2.737027e+01    6.657025e+01
  2.737094e+01    6.674382e+01
  2.737161e+01    6.676172e+01
  2.737228e+01    6.563751e+01
  2.737295e+01    6.533437e+01
  2.737363e+01    6.615112e+01
  2.737430e+01    6.617151e+01
  2.737497e+01    6.608304e+01
  2.737564e+01    6.575274e+01
  2.737631e+01    6.482686e+01
  2.737698e+01    6.484810e+01
  2.737765e+01    6.400383e+01
  2.737832e+01    6.426253e+01
  2.737899e+01    6.404896e+01
  2.737966e+01    6.463734e+01
  2.738033e+01    6.429121e+01
  2.738100e+01    6.465000e+01
  2.738167e+01    6.440373e+01
  2.738234e+01    6.507591e+01
  2.738301e+01    6.583052e+01
  2.738369e+01    6.630396e+01
  2.738436e+01    6.577241e+01
  2.738503e+01    6.537702e+01
  2.738570e+01    6.477544e+01
  2.738637e+01    6.507269e+01
  2.738704e+01    6.558854e+01
  2.738771e+01    6.601668e+01
  2.738838e+01    6.632492e+01
  2.738905e+01    6.730998e+01
  2.738972e+01    6.794067e+01
  2.739039e+01    6.837762e+01
  2.739106e+01    6.899820e+01
  2.739173e+01    6.866730e+01
  2.739240e+01    6.893816e+01
  2.739307e+01    6.851260e+01
  2.739374e+01    6.766131e+01
  2.739442e+01    6.783981e+01
  2.739509e+01    6.756312e+01
  2.739576e+01    6.743633e+01
  2.739643e+01    6.728357e+01
  2.739710e+01    6.627577e+01
  2.739777e+01    6.511935e+01
  2.739844e+01    6.470066e+01
  2.739911e+01    6.460186e+01
  2.739978e+01    6.507748e+01
  2.740045e+01    6.595911e+01
