# == pyFAI calibration ==
# Distance Sample to Detector: 0.9084140734515469 m
# PONI: 1.891e-01, 2.398e-01 m
# Rotations: 0.085177 0.004888 0.000005 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 911.730 mm
# Center: x=943.315, y=1125.594 pix
# Tilt: 4.888 deg  TiltPlanRot: 176.711 deg
# 
# Detector Pilatus 300kw	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 8.856e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> b_toney_lab6_th3_scan1_0008.xy
#       2th_deg             I 
  1.082582e+01    1.305411e+01
  1.083100e+01    1.300641e+01
  1.083617e+01    1.311895e+01
  1.084134e+01    1.310912e+01
  1.084652e+01    1.299674e+01
  1.085169e+01    1.302564e+01
  1.085686e+01    1.309493e+01
  1.086204e+01    1.310831e+01
  1.086721e+01    1.308929e+01
  1.087238e+01    1.301725e+01
  1.087755e+01    1.288300e+01
  1.088273e+01    1.283965e+01
  1.088790e+01    1.297867e+01
  1.089307e+01    1.302855e+01
  1.089825e+01    1.300210e+01
  1.090342e+01    1.293313e+01
  1.090859e+01    1.293568e+01
  1.091377e+01    1.295255e+01
  1.091894e+01    1.297604e+01
  1.092411e+01    1.304123e+01
  1.092928e+01    1.303803e+01
  1.093446e+01    1.301049e+01
  1.093963e+01    1.302021e+01
  1.094480e+01    1.297760e+01
  1.094998e+01    1.303867e+01
  1.095515e+01    1.313969e+01
  1.096032e+01    1.310515e+01
  1.096549e+01    1.302915e+01
  1.097067e+01    1.301040e+01
  1.097584e+01    1.297974e+01
  1.098101e+01    1.287799e+01
  1.098619e+01    1.289927e+01
  1.099136e+01    1.303901e+01
  1.099653e+01    1.299488e+01
  1.100171e+01    1.287652e+01
  1.100688e+01    1.300413e+01
  1.101205e+01    1.305384e+01
  1.101722e+01    1.295088e+01
  1.102240e+01    1.289908e+01
  1.102757e+01    1.287051e+01
  1.103274e+01    1.291088e+01
  1.103792e+01    1.302203e+01
  1.104309e+01    1.296274e+01
  1.104826e+01    1.269804e+01
  1.105343e+01    1.258955e+01
  1.105861e+01    1.281187e+01
  1.106378e+01    1.297601e+01
  1.106895e+01    1.310627e+01
  1.107413e+01    1.301031e+01
  1.107930e+01    1.283042e+01
  1.108447e+01    1.278096e+01
  1.108965e+01    1.287176e+01
  1.109482e+01    1.295465e+01
  1.109999e+01    1.293912e+01
  1.110516e+01    1.293406e+01
