    #,        th,       tth,  Seconds,  Monitor, Detector,     dead,       i1,       i2,       i3,       i4,   normlz,    Foils,     TEMP,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,  keith_I,  keith_V,    CTEMP,    Timer,  tempsec,     pd17,     pd18, agi34410,  agidaq1,  agidaq2,  agidaq3,  agidaq4,   CTEMPB
   18,      8.62,     17.24,   1.0000,  0.15085,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  7870217,       21,      224,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   19,      8.96,     17.92,   1.0000,  0.15126,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  4734438,        7,       73,       26,       26,       26,       26,       26,       26,       26,       26,       26,       26,       26,       26,       26,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   20,       9.3,      18.6,   1.0000,  0.15104,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  1999530,        6,       69,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,       11,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   21,      9.64,     19.28,   1.0000,  0.15124,        0,        0,        0,  0.00033,        0,        0,        0,        0,        0,  2123643,        7,       70,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   22,      9.98,     19.96,   1.0000,  0.15071,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  3248505,        6,       62,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   23,     10.32,     20.64,   1.0000,  0.15159,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  5694218,        6,       60,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        6,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   24,     10.66,     21.32,   1.0000,  0.15135,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  3815192,       36,      486,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,       10,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   25,        11,        22,   1.0000,  0.15125,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  2871918,        4,       58,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   26,     11.34,     22.68,   1.0000,  0.15128,        0,        0,        0,  0.00034,        0,        0,        0,        0,        0,  1560510,        3,       40,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        7,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
   27,     11.68,     23.36,   1.0000,  0.15124,        0,        0,        0,  0.00035,        0,        0,        0,        0,        0,  2104793,        2,       37,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        8,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
